"State","Confirmed","Recovered","Deaths","Active","Last_Updated_Time","State_code","Delta_Confirmed","Delta_Recovered","Delta_Deaths","State_Notes"
"Total","11476","1316","390","9770","14/04/2020 23:00:24","TT","1022","118","32",""
"Maharashtra","2684","229","178","2277","14/04/2020 23:00:25","MH","350","0","18",""
"Delhi","1561","31","30","1500","14/04/2020 22:11:17","DL","51","0","2",""
"Tamil Nadu","1204","81","12","1111","14/04/2020 18:35:41","TN","31","23","1",""
"Rajasthan","1005","147","11","847","14/04/2020 22:51:54","RJ","108","26","0",""
"Madhya Pradesh","741","51","50","640","14/04/2020 22:11:18","MP","127","0","0",""
"Telangana","644","110","18","516","14/04/2020 22:35:25","TG","52","7","1",""
"Gujarat","650","59","28","563","14/04/2020 20:15:25","GJ","78","5","2",""
"Uttar Pradesh","660","50","8","602","14/04/2020 21:00:25","UP","102","1","3",""
"Andhra Pradesh","473","16","9","448","14/04/2020 20:15:26","AP","34","4","2",""
"Kerala","386","211","2","173","14/04/2020 18:10:28","KL","8","13","0",""
"Jammu and Kashmir","278","30","4","244","14/04/2020 19:50:25","JK","8","14","0",""
"Karnataka","260","71","10","179","14/04/2020 19:36:21","KA","13","11","2",""
"Haryana","198","55","3","140","14/04/2020 18:10:31","HR","2","4","0","14 recovered Italian tourists included in tally, 1 death in Ambala unaccounted."
"West Bengal","190","36","7","147","14/04/2020 10:40:25","WB","38","7","0",""
"Punjab","184","25","13","146","14/04/2020 22:51:55","PB","8","0","1","As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
"Bihar","66","29","1","36","14/04/2020 21:10:25","BR","0","1","0",""
"Odisha","60","18","1","41","14/04/2020 18:10:33","OR","5","0","0",""
"Uttarakhand","37","9","0","28","14/04/2020 20:40:25","UT","2","2","0",""
"Himachal Pradesh","32","12","2","18","12/04/2020 21:35:27","HP","0","0","0","Death of Tibetan refugee included"
"Chhattisgarh","33","10","0","23","14/04/2020 18:10:35","CT","2","0","0",""
"Assam","31","0","1","30","14/04/2020 10:00:26","AS","0","0","0",""
"Jharkhand","27","0","2","25","13/04/2020 20:50:25","JH","3","0","0",""
"Chandigarh","21","7","0","14","10/04/2020 18:10:27","CH","0","0","0",""
"Ladakh","17","12","0","5","13/04/2020 21:15:27","LA","0","0","0",""
"Andaman and Nicobar Islands","11","10","0","1","30/03/2020 11:27:27","AN","0","0","0",""
"Goa","7","5","0","2","11/04/2020 23:26:44","GA","0","0","0",""
"Puducherry","7","1","0","6","10/04/2020 17:50:26","PY","0","0","0",""
"Manipur","2","1","0","1","06/04/2020 22:35:54","MN","0","0","0",""
"Tripura","2","0","0","2","10/04/2020 20:00:27","TR","0","0","0",""
"Mizoram","1","0","0","1","26/03/2020 07:19:29","MZ","0","0","0",""
"Arunachal Pradesh","1","0","0","1","02/04/2020 11:42:31","AR","0","0","0",""
"Dadra and Nagar Haveli","1","0","0","1","06/04/2020 15:22:25","DN","0","0","0",""
"Nagaland","1","0","0","1","12/04/2020 23:35:29","NL","0","0","0",""
"Meghalaya","1","0","0","1","13/04/2020 22:52:41","ML","0","0","0",""
"Daman and Diu","0","0","0","0","26/03/2020 07:19:29","DD","0","0","0",""
"Lakshadweep","0","0","0","0","26/03/2020 07:19:29","LD","0","0","0",""
"Sikkim","0","0","0","0","26/03/2020 07:19:29","SK","0","0","0",""
